NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	89	0.27327684	1.2033179	0.13351499	0.7468259	0.897	3720	tags=31%, list=24%, signal=41%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	12	0.37471	1.0023385	0.47785547	1.0	1.0	3103	tags=33%, list=20%, signal=42%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	46	0.23663871	0.90569556	0.6152074	1.0	1.0	1846	tags=17%, list=12%, signal=20%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	82	0.17030592	0.73258847	0.94864863	1.0	1.0	2124	tags=15%, list=14%, signal=17%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	142	0.1371531	0.65125984	1.0	1.0	1.0	3491	tags=19%, list=23%, signal=24%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	197	0.12958345	0.64024234	1.0	0.9889419	1.0	4408	tags=26%, list=29%, signal=36%	
