NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
WP_NODLIKE_RECEPTOR_NLR_SIGNALING_PATHWAY	WP_NODLIKE_RECEPTOR_NLR_SIGNALING_PATHWAY	Details ...	8	0.5759946	1.4063935	0.08597285	1.0	1.0	3707	tags=50%, list=24%, signal=66%	
REACTOME_SERINE_BIOSYNTHESIS	REACTOME_SERINE_BIOSYNTHESIS	Details ...	7	0.621355	1.4001914	0.0995671	1.0	1.0	3748	tags=43%, list=24%, signal=57%	
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	Details ...	11	0.52666944	1.3892747	0.09307359	1.0	1.0	2838	tags=36%, list=18%, signal=45%	
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS	REACTOME_RHO_GTPASES_ACTIVATE_ROCKS	Details ...	5	0.6732482	1.3788927	0.11827957	1.0	1.0	1534	tags=40%, list=10%, signal=44%	
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2	Details ...	14	0.4823795	1.3683922	0.09227468	1.0	1.0	1145	tags=21%, list=7%, signal=23%	
REACTOME_SYNTHESIS_OF_PE	REACTOME_SYNTHESIS_OF_PE	Details ...	9	0.5445112	1.3628198	0.121212125	1.0	1.0	1824	tags=33%, list=12%, signal=38%	
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4	REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4	Details ...	14	0.4823795	1.3599885	0.108294934	1.0	1.0	1145	tags=21%, list=7%, signal=23%	
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	REACTOME_PROLACTIN_RECEPTOR_SIGNALING	Details ...	7	0.5961042	1.3571321	0.15184382	1.0	1.0	2241	tags=43%, list=15%, signal=50%	
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	Details ...	9	0.5440083	1.3498862	0.14184397	1.0	1.0	219	tags=22%, list=1%, signal=23%	
REACTOME_TRAIL_SIGNALING	REACTOME_TRAIL_SIGNALING	Details ...	5	0.65593976	1.3476192	0.16317992	1.0	1.0	5307	tags=100%, list=34%, signal=152%	
REACTOME_FRS_MEDIATED_FGFR4_SIGNALING	REACTOME_FRS_MEDIATED_FGFR4_SIGNALING	Details ...	9	0.5394492	1.3398185	0.12108559	1.0	1.0	1145	tags=22%, list=7%, signal=24%	
BIOCARTA_PRC2_PATHWAY	BIOCARTA_PRC2_PATHWAY	Details ...	10	0.5349486	1.3388865	0.15879828	1.0	1.0	2289	tags=40%, list=15%, signal=47%	
REACTOME_RHOBTB_GTPASE_CYCLE	REACTOME_RHOBTB_GTPASE_CYCLE	Details ...	34	0.3743207	1.3378413	0.08928572	1.0	1.0	3816	tags=41%, list=25%, signal=55%	
