, Treatment, Cohort
AM14_P1, PL2-3, 1
AM14_P2, PL2-3, 1
AM14_P3, PL2-3, 1
AM14_P4, PL2-3, 2
AM14_P5, PL2-3, 2
AM14_P2_1, PL2-3+2DG, 1
AM14_P2_2, PL2-3+2DG, 1
AM14_P2_3, PL2-3+2DG, 1
AM14_P2_4, PL2-3+2DG, 2
AM14_P2_5, PL2-3+2DG, 2
AM14_R_1, R848, 1
AM14_R_2, R848, 1
AM14_R_3, R848, 2
AM14_R_4, R848, 2
AM14_R_5, R848, 2
AM14_R2_1, R848+2DG, 1
AM14_R2_2, R848+2DG, 1
AM14_R2_3, R848+2DG, 2
AM14_R2_4, R848+2DG, 2
AM14_R2_5, R848+2DG, 2
