NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS		57	-0.14219773	-0.5793043	0.99006623	0.9947367	1.0	4411	tags=26%, list=29%, signal=37%	
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE		12	-0.21559991	-0.57922864	0.9600726	0.99387276	1.0	3612	tags=25%, list=23%, signal=33%	
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE		17	-0.18534379	-0.5751101	0.9635701	0.99475914	1.0	4877	tags=29%, list=32%, signal=43%	
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE		10	-0.21962994	-0.57244086	0.961183	0.99504524	1.0	3200	tags=30%, list=21%, signal=38%	
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN	REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN		31	-0.1608742	-0.57137084	0.97639126	0.9945654	1.0	5123	tags=35%, list=33%, signal=53%	
WP_SEROTONIN_AND_ANXIETYRELATED_EVENTS	WP_SEROTONIN_AND_ANXIETYRELATED_EVENTS		6	-0.25884327	-0.569782	0.95085067	0.99432224	1.0	5020	tags=50%, list=33%, signal=74%	
BIOCARTA_BCELLSURVIVAL_PATHWAY	BIOCARTA_BCELLSURVIVAL_PATHWAY		16	-0.18766473	-0.569688	0.9537572	0.99346936	1.0	4877	tags=38%, list=32%, signal=55%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2		62	-0.13481496	-0.5688073	0.9982818	0.992949	1.0	4411	tags=24%, list=29%, signal=34%	
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	REACTOME_RHO_GTPASES_ACTIVATE_PKNS		21	-0.17788556	-0.5662305	0.9841828	0.99303794	1.0	2598	tags=19%, list=17%, signal=23%	
REACTOME_PYRUVATE_METABOLISM	REACTOME_PYRUVATE_METABOLISM		39	-0.14701702	-0.56498355	0.9908925	0.9926403	1.0	2723	tags=18%, list=18%, signal=22%	
WP_PROTEASOME_DEGRADATION	WP_PROTEASOME_DEGRADATION		50	-0.14109695	-0.5626358	0.99497485	0.9926358	1.0	5802	tags=42%, list=38%, signal=67%	
REACTOME_NUCLEOTIDE_SALVAGE	REACTOME_NUCLEOTIDE_SALVAGE		20	-0.17794491	-0.5617613	0.976234	0.9920496	1.0	4031	tags=25%, list=26%, signal=34%	
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING		17	-0.18166211	-0.5599077	0.9794776	0.9918586	1.0	154	tags=6%, list=1%, signal=6%	
WP_TRANSLATION_FACTORS	WP_TRANSLATION_FACTORS		45	-0.14264569	-0.55343467	0.99256504	0.9931495	1.0	5502	tags=40%, list=36%, signal=62%	
REACTOME_RAF_ACTIVATION	REACTOME_RAF_ACTIVATION		33	-0.15010598	-0.5497566	0.994575	0.99348813	1.0	2395	tags=18%, list=16%, signal=21%	
BIOCARTA_TEL_PATHWAY	BIOCARTA_TEL_PATHWAY		16	-0.18633816	-0.54877895	0.97806215	0.9929472	1.0	1076	tags=13%, list=7%, signal=13%	
REACTOME_CARNITINE_METABOLISM	REACTOME_CARNITINE_METABOLISM		11	-0.20612006	-0.5479368	0.9592593	0.99238694	1.0	4920	tags=36%, list=32%, signal=53%	
REACTOME_COENZYME_A_BIOSYNTHESIS	REACTOME_COENZYME_A_BIOSYNTHESIS		7	-0.23041986	-0.53142774	0.97081715	0.99635446	1.0	5286	tags=43%, list=34%, signal=65%	
REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS	REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS		64	-0.12494687	-0.52667904	1.0	0.9966797	1.0	1977	tags=11%, list=13%, signal=12%	
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS		63	-0.122894764	-0.52322227	0.99648505	0.9966292	1.0	5802	tags=37%, list=38%, signal=58%	
