NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS		21	0.32435787	1.0753075	0.35031846	1.0	1.0	4373	tags=38%, list=28%, signal=53%	
REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING	REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING		9	0.40942574	1.0751423	0.35869566	1.0	1.0	4367	tags=56%, list=28%, signal=77%	
WP_MISMATCH_REPAIR	WP_MISMATCH_REPAIR		9	0.4202922	1.0739131	0.35462555	1.0	1.0	2693	tags=22%, list=17%, signal=27%	
REACTOME_DNA_REPAIR	REACTOME_DNA_REPAIR		305	0.1887619	1.0644679	0.2676923	1.0	1.0	4516	tags=32%, list=29%, signal=44%	
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION		30	0.2861609	1.062402	0.33886257	1.0	1.0	1758	tags=27%, list=11%, signal=30%	
REACTOME_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES	REACTOME_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES		91	0.2216443	1.0561607	0.31980908	1.0	1.0	5256	tags=44%, list=34%, signal=66%	
REACTOME_GAP_FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG_NER	REACTOME_GAP_FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG_NER		23	0.30587706	1.051829	0.37188208	1.0	1.0	4417	tags=39%, list=29%, signal=55%	
REACTOME_REGULATION_OF_APC_C_ACTIVATORS_BETWEEN_G1_S_AND_EARLY_ANAPHASE	REACTOME_REGULATION_OF_APC_C_ACTIVATORS_BETWEEN_G1_S_AND_EARLY_ANAPHASE		35	0.27190223	1.0477554	0.35730338	1.0	1.0	4540	tags=34%, list=29%, signal=48%	
REACTOME_MITOPHAGY	REACTOME_MITOPHAGY		38	0.27269697	1.0472405	0.38809523	1.0	1.0	4445	tags=47%, list=29%, signal=66%	
REACTOME_REGULATION_OF_PTEN_LOCALIZATION	REACTOME_REGULATION_OF_PTEN_LOCALIZATION		10	0.3944813	1.0470139	0.37831858	1.0	1.0	4074	tags=50%, list=26%, signal=68%	
