NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	198	0.4685529	2.468196	0.0	0.0	0.0	5903	tags=66%, list=38%, signal=105%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	197	0.43996298	2.326267	0.0	0.0	0.0	5410	tags=58%, list=35%, signal=89%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	192	0.408551	2.166022	0.0	0.0	0.0	5891	tags=63%, list=38%, signal=101%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	192	0.287247	1.4964135	0.006302521	0.030560808	0.313	4797	tags=42%, list=31%, signal=60%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	82	0.30487743	1.3872613	0.04158004	0.05516823	0.558	4405	tags=38%, list=29%, signal=53%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	142	0.20621416	1.0248123	0.37787056	0.53155935	1.0	4178	tags=31%, list=27%, signal=42%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	193	0.18007146	0.94736123	0.6092184	0.6527926	1.0	2663	tags=20%, list=17%, signal=24%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	0.15515669	0.6535773	0.96202534	0.986224	1.0	3073	tags=21%, list=20%, signal=26%	
