NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS	REACTOME_RHO_GTPASES_ACTIVATE_ROCKS		5	0.5566231	1.1592474	0.33333334	0.5952433	1.0	2269	tags=60%, list=15%, signal=70%	
BIOCARTA_GCR_PATHWAY	BIOCARTA_GCR_PATHWAY		15	0.3774054	1.1584651	0.25303644	0.5947339	1.0	1284	tags=27%, list=8%, signal=29%	
REACTOME_APOPTOTIC_EXECUTION_PHASE	REACTOME_APOPTOTIC_EXECUTION_PHASE		42	0.29526365	1.1583962	0.24528302	0.59240574	1.0	2710	tags=26%, list=18%, signal=32%	
BIOCARTA_SAM68_PATHWAY	BIOCARTA_SAM68_PATHWAY		6	0.51064146	1.1543572	0.3018868	0.59962195	1.0	546	tags=17%, list=4%, signal=17%	
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA		55	0.27323836	1.1532807	0.23092784	0.5998602	1.0	4056	tags=31%, list=26%, signal=42%	
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE		39	0.2967297	1.152293	0.23732251	0.5997417	1.0	2507	tags=28%, list=16%, signal=34%	
REACTOME_MAPK6_MAPK4_SIGNALING	REACTOME_MAPK6_MAPK4_SIGNALING		70	0.25527462	1.1488237	0.20081967	0.6055519	1.0	5058	tags=37%, list=33%, signal=55%	
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING	REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING		29	0.3181981	1.1459371	0.25210086	0.61028624	1.0	2703	tags=34%, list=18%, signal=42%	
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION	REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_METHYLATION		18	0.359826	1.142693	0.2933071	0.6158553	1.0	2225	tags=22%, list=14%, signal=26%	
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE		37	0.29931718	1.1407455	0.26086956	0.6181278	1.0	4469	tags=41%, list=29%, signal=57%	
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2	REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2		54	0.27420405	1.1375846	0.22799097	0.6233692	1.0	5058	tags=41%, list=33%, signal=60%	
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION		25	0.3190011	1.1289327	0.27698573	0.64233136	1.0	3633	tags=36%, list=24%, signal=47%	
WP_SEROTONIN_AND_ANXIETYRELATED_EVENTS	WP_SEROTONIN_AND_ANXIETYRELATED_EVENTS		6	0.5141059	1.1275208	0.31941545	0.64339393	1.0	2565	tags=33%, list=17%, signal=40%	
REACTOME_MITOTIC_G2_G2_M_PHASES	REACTOME_MITOTIC_G2_G2_M_PHASES		175	0.21561928	1.127505	0.19545455	0.640892	1.0	5058	tags=37%, list=33%, signal=55%	
REACTOME_REGULATION_OF_LOCALIZATION_OF_FOXO_TRANSCRIPTION_FACTORS	REACTOME_REGULATION_OF_LOCALIZATION_OF_FOXO_TRANSCRIPTION_FACTORS		11	0.41770554	1.125239	0.31936127	0.6442529	1.0	3961	tags=45%, list=26%, signal=61%	
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA	REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA		35	0.29933843	1.1245389	0.2625	0.6434786	1.0	3892	tags=34%, list=25%, signal=46%	
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES	REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES		30	0.3179512	1.1239485	0.27831095	0.64251006	1.0	3706	tags=37%, list=24%, signal=48%	
REACTOME_REGULATION_OF_TP53_ACTIVITY	REACTOME_REGULATION_OF_TP53_ACTIVITY		145	0.22143044	1.1218258	0.22022472	0.6452645	1.0	5110	tags=36%, list=33%, signal=53%	
REACTOME_REGULATION_OF_PYRUVATE_METABOLISM	REACTOME_REGULATION_OF_PYRUVATE_METABOLISM		31	0.30503497	1.1179271	0.28629857	0.6525498	1.0	2225	tags=29%, list=14%, signal=34%	
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS		42	0.28385416	1.1166744	0.26464647	0.65327024	1.0	3892	tags=33%, list=25%, signal=44%	
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS	REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS		13	0.39541057	1.1165076	0.32539684	0.65118253	1.0	4077	tags=46%, list=26%, signal=63%	
BIOCARTA_DNAFRAGMENT_PATHWAY	BIOCARTA_DNAFRAGMENT_PATHWAY		10	0.41453165	1.1141068	0.3084886	0.6544659	1.0	3057	tags=40%, list=20%, signal=50%	
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION		34	0.29230976	1.1138058	0.29957807	0.6526851	1.0	4356	tags=44%, list=28%, signal=61%	
REACTOME_SENSING_OF_DNA_DOUBLE_STRAND_BREAKS	REACTOME_SENSING_OF_DNA_DOUBLE_STRAND_BREAKS		7	0.47279847	1.1110125	0.32617188	0.65702754	1.0	4916	tags=57%, list=32%, signal=84%	
REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY	REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY		27	0.30881092	1.105275	0.30710173	0.6687601	1.0	1478	tags=22%, list=10%, signal=25%	
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB	REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB		5	0.51695395	1.1018075	0.35270542	0.6752869	1.0	5057	tags=80%, list=33%, signal=119%	
REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX	REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX		11	0.40438995	1.0997139	0.35119048	0.67800015	1.0	3446	tags=45%, list=22%, signal=58%	
WP_OVARIAN_INFERTILITY	WP_OVARIAN_INFERTILITY		16	0.36583686	1.099459	0.32738096	0.6760315	1.0	3207	tags=31%, list=21%, signal=39%	
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION		22	0.33216125	1.0993234	0.33204633	0.67386746	1.0	2227	tags=32%, list=14%, signal=37%	
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION		30	0.2991504	1.0919347	0.32438016	0.6902977	1.0	1667	tags=20%, list=11%, signal=22%	
REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS	REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS		34	0.29142356	1.0904925	0.3042553	0.6913836	1.0	3892	tags=32%, list=25%, signal=43%	
REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS		12	0.38236243	1.0899901	0.35260117	0.6900963	1.0	1951	tags=33%, list=13%, signal=38%	
BIOCARTA_CDK5_PATHWAY	BIOCARTA_CDK5_PATHWAY		9	0.42632782	1.0846857	0.3653846	0.7011131	1.0	1266	tags=22%, list=8%, signal=24%	
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR	REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR		15	0.3581736	1.0846285	0.36099586	0.6986922	1.0	5915	tags=60%, list=38%, signal=97%	
REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION	REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION		13	0.380449	1.0817804	0.34504133	0.7032557	1.0	4384	tags=46%, list=28%, signal=64%	
REACTOME_AGGREPHAGY	REACTOME_AGGREPHAGY		29	0.3026577	1.0808156	0.34081632	0.70315874	1.0	2781	tags=31%, list=18%, signal=38%	
REACTOME_PTK6_REGULATES_RTKS_AND_THEIR_EFFECTORS_AKT1_AND_DOK1	REACTOME_PTK6_REGULATES_RTKS_AND_THEIR_EFFECTORS_AKT1_AND_DOK1		9	0.41468382	1.078399	0.38036808	0.70688105	1.0	2225	tags=33%, list=14%, signal=39%	
BIOCARTA_SET_PATHWAY	BIOCARTA_SET_PATHWAY		11	0.40854526	1.0776738	0.36631578	0.706272	1.0	2208	tags=36%, list=14%, signal=42%	
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION		11	0.39057538	1.07557	0.36105478	0.7091356	1.0	9	tags=9%, list=0%, signal=9%	
REACTOME_CAM_PDE_1_ACTIVATION	REACTOME_CAM_PDE_1_ACTIVATION		5	0.50833094	1.0744673	0.39468303	0.7095015	1.0	1478	tags=40%, list=10%, signal=44%	
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS	REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS		33	0.28921917	1.0709131	0.3501048	0.71599746	1.0	3088	tags=24%, list=20%, signal=30%	
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS	REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS		15	0.34989104	1.0695765	0.366	0.7169096	1.0	5915	tags=60%, list=38%, signal=97%	
REACTOME_CLEC7A_DECTIN_1_SIGNALING	REACTOME_CLEC7A_DECTIN_1_SIGNALING		92	0.22765224	1.0647994	0.31223628	0.7266376	1.0	5088	tags=40%, list=33%, signal=60%	
REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING	REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING		22	0.30877754	1.0624744	0.3562753	0.7302983	1.0	2225	tags=23%, list=14%, signal=27%	
REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA	REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA		36	0.27792254	1.0618147	0.36421052	0.729504	1.0	5110	tags=47%, list=33%, signal=70%	
REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING	REACTOME_WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING		11	0.3867744	1.0594935	0.4017094	0.7329592	1.0	3722	tags=45%, list=24%, signal=60%	
REACTOME_INTRAFLAGELLAR_TRANSPORT	REACTOME_INTRAFLAGELLAR_TRANSPORT		49	0.2566532	1.0585712	0.36032388	0.7327701	1.0	4288	tags=37%, list=28%, signal=51%	
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS		9	0.41250786	1.0572648	0.3825911	0.7337259	1.0	3912	tags=33%, list=25%, signal=45%	
WP_MISMATCH_REPAIR	WP_MISMATCH_REPAIR		9	0.39820778	1.0550357	0.39243028	0.73700804	1.0	7187	tags=78%, list=47%, signal=146%	
REACTOME_ONCOGENE_INDUCED_SENESCENCE	REACTOME_ONCOGENE_INDUCED_SENESCENCE		17	0.34101892	1.0542685	0.39960238	0.73655844	1.0	2225	tags=18%, list=14%, signal=21%	
REACTOME_RAP1_SIGNALLING	REACTOME_RAP1_SIGNALLING		14	0.35333645	1.0496699	0.37723213	0.74599826	1.0	2232	tags=36%, list=14%, signal=42%	
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY	REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY		52	0.2541474	1.0477406	0.36895162	0.74838877	1.0	5058	tags=38%, list=33%, signal=57%	
REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY	REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY		23	0.30288765	1.0439583	0.36363637	0.7558661	1.0	3290	tags=26%, list=21%, signal=33%	
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION		24	0.3014704	1.0438397	0.38784066	0.7535664	1.0	3446	tags=38%, list=22%, signal=48%	
REACTOME_FLT3_SIGNALING	REACTOME_FLT3_SIGNALING		30	0.2855513	1.0427902	0.36228815	0.75377697	1.0	1209	tags=17%, list=8%, signal=18%	
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE		15	0.33949813	1.0420649	0.3946281	0.75310534	1.0	5071	tags=47%, list=33%, signal=69%	
REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS	REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS		64	0.23915291	1.0420569	0.38445807	0.7505783	1.0	5741	tags=45%, list=37%, signal=72%	
REACTOME_NOD1_2_SIGNALING_PATHWAY	REACTOME_NOD1_2_SIGNALING_PATHWAY		32	0.28474644	1.0391675	0.3822894	0.7554267	1.0	3446	tags=31%, list=22%, signal=40%	
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE	REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE		20	0.31024474	1.0371923	0.38522953	0.75806946	1.0	4284	tags=40%, list=28%, signal=55%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS		14	0.35655358	1.0360216	0.37731957	0.7587225	1.0	4255	tags=57%, list=28%, signal=79%	
BIOCARTA_41BB_PATHWAY	BIOCARTA_41BB_PATHWAY		17	0.33952498	1.0356692	0.40246406	0.7571158	1.0	2540	tags=29%, list=16%, signal=35%	
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	REACTOME_RHO_GTPASES_ACTIVATE_PKNS		21	0.30713516	1.0355071	0.39328063	0.75506866	1.0	3406	tags=38%, list=22%, signal=49%	
REACTOME_SIGNALING_BY_BMP	REACTOME_SIGNALING_BY_BMP		17	0.32853022	1.0345742	0.39501038	0.7548928	1.0	6100	tags=71%, list=40%, signal=117%	
WP_HYPERTROPHY_MODEL	WP_HYPERTROPHY_MODEL		15	0.33545732	1.0340214	0.4047619	0.7539303	1.0	4643	tags=40%, list=30%, signal=57%	
BIOCARTA_DSP_PATHWAY	BIOCARTA_DSP_PATHWAY		8	0.41732597	1.0331951	0.4185567	0.75361735	1.0	4126	tags=50%, list=27%, signal=68%	
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION		24	0.29808745	1.0329993	0.41716567	0.75162035	1.0	5891	tags=54%, list=38%, signal=88%	
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION		79	0.22392969	1.0322161	0.38574424	0.7510775	1.0	4056	tags=30%, list=26%, signal=41%	
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12	REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12		16	0.34328604	1.031934	0.41821945	0.7493247	1.0	5915	tags=56%, list=38%, signal=91%	
BIOCARTA_G2_PATHWAY	BIOCARTA_G2_PATHWAY		21	0.31221896	1.0315189	0.42270058	0.7479014	1.0	5987	tags=57%, list=39%, signal=93%	
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES	REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES		34	0.27121636	1.0288404	0.41889116	0.75235355	1.0	5110	tags=50%, list=33%, signal=75%	
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING		57	0.23864685	1.0284096	0.42331287	0.7509831	1.0	5741	tags=47%, list=37%, signal=75%	
REACTOME_HSF1_ACTIVATION	REACTOME_HSF1_ACTIVATION		8	0.42092758	1.0271015	0.42137095	0.75205684	1.0	1284	tags=38%, list=8%, signal=41%	
REACTOME_SELECTIVE_AUTOPHAGY	REACTOME_SELECTIVE_AUTOPHAGY		64	0.23607562	1.0250407	0.40040243	0.75502867	1.0	3275	tags=30%, list=21%, signal=38%	
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES	REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES		12	0.36369166	1.0216789	0.4238683	0.7610476	1.0	3446	tags=42%, list=22%, signal=54%	
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP		39	0.26002574	1.020277	0.42418033	0.7623317	1.0	4664	tags=41%, list=30%, signal=59%	
WP_PROTEASOME_DEGRADATION	WP_PROTEASOME_DEGRADATION		50	0.24538165	1.0194834	0.4236948	0.7620117	1.0	4017	tags=34%, list=26%, signal=46%	
REACTOME_LYSINE_CATABOLISM	REACTOME_LYSINE_CATABOLISM		9	0.39785212	1.0193558	0.43655914	0.75989914	1.0	4037	tags=56%, list=26%, signal=75%	
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS		12	0.35885933	1.0191712	0.43558282	0.75798917	1.0	1951	tags=33%, list=13%, signal=38%	
REACTOME_DNA_STRAND_ELONGATION	REACTOME_DNA_STRAND_ELONGATION		24	0.29202133	1.0184419	0.40963855	0.75737125	1.0	4957	tags=38%, list=32%, signal=55%	
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION		30	0.27968383	1.0115011	0.42827868	0.77298677	1.0	1512	tags=20%, list=10%, signal=22%	
REACTOME_CHAPERONIN_MEDIATED_PROTEIN_FOLDING	REACTOME_CHAPERONIN_MEDIATED_PROTEIN_FOLDING		33	0.26828694	1.0114826	0.41869918	0.7706081	1.0	5915	tags=55%, list=38%, signal=88%	
REACTOME_MAP3K8_TPL2_DEPENDENT_MAPK1_3_ACTIVATION	REACTOME_MAP3K8_TPL2_DEPENDENT_MAPK1_3_ACTIVATION		14	0.3465443	1.0101204	0.42535788	0.7718177	1.0	2278	tags=36%, list=15%, signal=42%	
