NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BIOCARTA_PITX2_PATHWAY	BIOCARTA_PITX2_PATHWAY	Details ...	13	-0.6543341	-1.7384821	0.0054347827	0.10378724	0.994	2	tags=8%, list=0%, signal=8%	
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	Details ...	17	-0.5806961	-1.7286698	0.01010101	0.11207062	0.998	3407	tags=71%, list=22%, signal=91%	
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	Details ...	30	-0.50982916	-1.7178272	0.0038022813	0.12262936	0.999	4863	tags=60%, list=32%, signal=87%	
REACTOME_HEME_DEGRADATION	REACTOME_HEME_DEGRADATION	Details ...	6	-0.79371107	-1.7077467	0.012915129	0.13339221	1.0	2156	tags=67%, list=14%, signal=77%	
REACTOME_SIGNALING_BY_GPCR	REACTOME_SIGNALING_BY_GPCR		316	-0.3378728	-1.702948	0.0	0.13717785	1.0	2784	tags=32%, list=18%, signal=38%	
BIOCARTA_MSP_PATHWAY	BIOCARTA_MSP_PATHWAY		5	-0.83058524	-1.6960398	0.0	0.14419901	1.0	2339	tags=80%, list=15%, signal=94%	
REACTOME_HEMOSTASIS	REACTOME_HEMOSTASIS		410	-0.32862005	-1.6894281	0.0	0.15069188	1.0	3879	tags=37%, list=25%, signal=48%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION		49	-0.4426728	-1.6882089	0.0035149385	0.15004022	1.0	4117	tags=45%, list=27%, signal=61%	
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION		62	-0.42465413	-1.6875058	0.003407155	0.14828147	1.0	4117	tags=42%, list=27%, signal=57%	
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	REACTOME_TRANSPORT_OF_SMALL_MOLECULES		459	-0.3230317	-1.6859384	0.0	0.14782879	1.0	3288	tags=30%, list=21%, signal=37%	
BIOCARTA_FREE_PATHWAY	BIOCARTA_FREE_PATHWAY		8	-0.70479745	-1.6800624	0.019011406	0.15355596	1.0	3456	tags=75%, list=22%, signal=97%	
BIOCARTA_MONOCYTE_PATHWAY	BIOCARTA_MONOCYTE_PATHWAY		11	-0.6416505	-1.6762683	0.017892644	0.15635718	1.0	1865	tags=64%, list=12%, signal=72%	
BIOCARTA_COMP_PATHWAY	BIOCARTA_COMP_PATHWAY		9	-0.6905978	-1.6736965	0.007677543	0.15758038	1.0	808	tags=44%, list=5%, signal=47%	
REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS	REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS		20	-0.550001	-1.6699147	0.018214935	0.160172	1.0	4085	tags=70%, list=26%, signal=95%	
REACTOME_DECTIN_2_FAMILY	REACTOME_DECTIN_2_FAMILY		8	-0.7194883	-1.6659353	0.009708738	0.16369529	1.0	2976	tags=75%, list=19%, signal=93%	
REACTOME_LAMININ_INTERACTIONS	REACTOME_LAMININ_INTERACTIONS		9	-0.6783156	-1.6641548	0.01532567	0.16375554	1.0	3266	tags=56%, list=21%, signal=70%	
BIOCARTA_GSK3_PATHWAY	BIOCARTA_GSK3_PATHWAY		19	-0.5646307	-1.6623508	0.0151802655	0.16412915	1.0	1676	tags=21%, list=11%, signal=24%	
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	REACTOME_ACYL_CHAIN_REMODELLING_OF_PC		16	-0.589096	-1.6606736	0.017208412	0.16403405	1.0	2977	tags=56%, list=19%, signal=70%	
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION		11	-0.6486862	-1.6589648	0.009225092	0.16394486	1.0	2723	tags=45%, list=18%, signal=55%	
REACTOME_RHOB_GTPASE_CYCLE	REACTOME_RHOB_GTPASE_CYCLE		56	-0.4232823	-1.6546148	0.0038461538	0.16756986	1.0	4455	tags=57%, list=29%, signal=80%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE		65	-0.41389707	-1.6534599	0.0	0.16694085	1.0	4117	tags=45%, list=27%, signal=61%	
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS		18	-0.54845136	-1.6519054	0.018450184	0.16695091	1.0	4676	tags=72%, list=30%, signal=104%	
BIOCARTA_EPHA4_PATHWAY	BIOCARTA_EPHA4_PATHWAY		7	-0.7234793	-1.6498915	0.027504912	0.16743927	1.0	3266	tags=71%, list=21%, signal=91%	
WP_FACTORS_AND_PATHWAYS_AFFECTING_INSULINLIKE_GROWTH_FACTOR_IGF1AKT_SIGNALING	WP_FACTORS_AND_PATHWAYS_AFFECTING_INSULINLIKE_GROWTH_FACTOR_IGF1AKT_SIGNALING		21	-0.53128964	-1.6400663	0.016885553	0.1792447	1.0	3510	tags=57%, list=23%, signal=74%	
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS		140	-0.36194056	-1.6380827	0.0	0.18009111	1.0	2581	tags=32%, list=17%, signal=38%	
REACTOME_SURFACTANT_METABOLISM	REACTOME_SURFACTANT_METABOLISM		12	-0.62269366	-1.6245258	0.03358209	0.1989493	1.0	2458	tags=50%, list=16%, signal=59%	
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS	REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS		5	-0.8058795	-1.6242878	0.011560693	0.1964829	1.0	2352	tags=80%, list=15%, signal=94%	
WP_SPLICING_FACTOR_NOVA_REGULATED_SYNAPTIC_PROTEINS	WP_SPLICING_FACTOR_NOVA_REGULATED_SYNAPTIC_PROTEINS		24	-0.51933587	-1.6217407	0.02385321	0.19810519	1.0	3213	tags=42%, list=21%, signal=53%	
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG	REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG		5	-0.79210216	-1.6209947	0.015533981	0.19661033	1.0	2555	tags=80%, list=17%, signal=96%	
BIOCARTA_CTL_PATHWAY	BIOCARTA_CTL_PATHWAY		14	-0.5910261	-1.6174071	0.022346368	0.19981043	1.0	1452	tags=29%, list=9%, signal=32%	
BIOCARTA_HES_PATHWAY	BIOCARTA_HES_PATHWAY		8	-0.6771994	-1.6135645	0.03846154	0.20325789	1.0	2	tags=13%, list=0%, signal=12%	
