NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS	REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS		31	0.28437448	0.99496007	0.45490983	1.0	1.0	2588	tags=29%, list=17%, signal=35%	
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA	REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA		35	0.27146018	0.9926756	0.45957446	1.0	1.0	3108	tags=26%, list=20%, signal=32%	
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING		27	0.29343253	0.99206847	0.43982494	1.0	1.0	397	tags=11%, list=3%, signal=11%	
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE		15	0.33985624	0.9918501	0.45454547	1.0	1.0	1940	tags=27%, list=13%, signal=30%	
REACTOME_HUR_ELAVL1_BINDS_AND_STABILIZES_MRNA	REACTOME_HUR_ELAVL1_BINDS_AND_STABILIZES_MRNA		7	0.42872036	0.9912367	0.47391304	1.0	1.0	3722	tags=57%, list=24%, signal=75%	
BIOCARTA_EGF_PATHWAY	BIOCARTA_EGF_PATHWAY		27	0.28470504	0.9906916	0.47537473	1.0	1.0	3273	tags=30%, list=21%, signal=38%	
BIOCARTA_NDKDYNAMIN_PATHWAY	BIOCARTA_NDKDYNAMIN_PATHWAY		12	0.35991195	0.989132	0.46848738	1.0	1.0	3308	tags=42%, list=21%, signal=53%	
REACTOME_INTRAFLAGELLAR_TRANSPORT	REACTOME_INTRAFLAGELLAR_TRANSPORT		49	0.25070953	0.98706865	0.48045978	1.0	1.0	1205	tags=14%, list=8%, signal=15%	
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING	REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING		31	0.27945313	0.98106146	0.49469215	1.0	1.0	1508	tags=16%, list=10%, signal=18%	
REACTOME_REGULATED_NECROSIS	REACTOME_REGULATED_NECROSIS		52	0.2479497	0.9784956	0.4859611	1.0	1.0	2588	tags=25%, list=17%, signal=30%	
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION		270	0.18789746	0.97771245	0.51785713	1.0	1.0	3783	tags=26%, list=25%, signal=33%	
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING		9	0.38711864	0.9742645	0.46929824	1.0	1.0	1508	tags=33%, list=10%, signal=37%	
REACTOME_SYNTHESIS_OF_PA	REACTOME_SYNTHESIS_OF_PA		29	0.28678435	0.9739753	0.48955917	1.0	1.0	1454	tags=17%, list=9%, signal=19%	
BIOCARTA_GCR_PATHWAY	BIOCARTA_GCR_PATHWAY		15	0.3342708	0.9737146	0.48878923	1.0	1.0	2009	tags=27%, list=13%, signal=31%	
BIOCARTA_41BB_PATHWAY	BIOCARTA_41BB_PATHWAY		17	0.3216879	0.97224	0.5	1.0	1.0	1654	tags=24%, list=11%, signal=26%	
REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING	REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING		20	0.30411467	0.97196573	0.48906562	1.0	1.0	4199	tags=40%, list=27%, signal=55%	
REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS	REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS		38	0.26815704	0.9706169	0.48523206	1.0	1.0	3108	tags=24%, list=20%, signal=30%	
REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS	REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS		15	0.3360537	0.9697294	0.47181627	1.0	1.0	397	tags=13%, list=3%, signal=14%	
