#,LogFoldChange
A730089K16Rik,-5.7782796949531
Abcc3,-6.3531992436311
Adap2,-4.4821386322982
Agap1,-5.17177563510723
Agrn,-1.40982566453979
Alas2,-4.77632041142423
Anks6,-4.94538058159652
Apol8,-6.29100173390139
Aqp1,-4.9851841475748
Bhlha15,-1.41615917089576
C1qa,-6.07935210491364
C1qb,-7.16733394702476
C1qc,-5.55399681037478
C3,-5.03228249659158
Car1,-4.66149845940192
Ccl24,-6.35591905615214
Ccr3,-5.44966309739336
Cdh17,-1.20275712021991
Cdhr2,-3.20463875396637
Cfh,-5.39437399956021
Cldn13,-5.67279839320518
Clec4n,-5.98956562022378
Colec12,-7.18608410166984
Drp2,-4.00449056866375
Enpep,-6.17002072128113
Epb41l3,-6.30776185213792
Epor,-4.95418018665475
Ermap,-3.70376778118478
Fcna,-5.55763946829265
Fhdc1,-5.33414249420596
Fn1,-4.28325424463525
Frmd4b,-2.97327037303923
Garem1,-4.32628060990616
Gfi1b,-2.57086270720713
Gm38118,-2.48539560193526
Gm7694,-5.14387242775697
Gpx3,-2.43403109423128
Gypa,-4.67522903067831
Hgfac,-2.70793540406117
Hid1,-1.7982459376419
Hnf1b,-2.47998335796673
Hpgd,-5.37457257283133
Hs3st2,-5.03577733377049
Hsd11b1,-1.19169797262872
Igf2r,-1.04227520123341
Il12b,-5.3130488340906
Itga9,-5.51811895287208
Itgad,-4.10075392287562
Kcnj10,-5.49115388031831
Kcnk6,-1.02871533941163
Kctd12b,-5.4418189442172
Klf1,-3.93123587936026
Klk4,-1.82192153093684
Lpin3,-5.8152687107911
Matn2,-1.39910740357074
Mfsd2b,-3.64137328820619
Mmp14,-2.891065597837
Mmp15,-3.25331158445032
Mrc1,-2.56293728106183
Naaladl1,-3.68679159259773
Nlrp1b,-4.58069420020344
Nr1h3,-4.15684719623559
Pam,-1.93283975502316
Pamr1,-5.0547906641758
Paqr9,-7.54769544446267
Pcbd1,-2.14367291721373
Pdzd3,-4.34524033854757
Pla2g2d,-7.02761015870313
Pstpip2,-1.99049890228
Ptgs1,-7.80865938050656
Rab3il1,-6.07434717893891
Rab7b,-4.0904277444648
Rac3,-4.94075098705463
Rhag,-5.6425278107904
Rhd,-3.91623208385895
Rhpn1,-5.6178690779687
Scel,-3.11459154452926
Sdc3,-1.4116615554777
Serpinb9b,-2.81342158395802
Sh2d4a,-6.55127751851825
Siglec1,-7.82344676763549
Slc40a1,-4.98225993252262
Slc43a1,-2.3844399642857
Slc45a3,-7.3960071538214
Slc9a3r2,-4.55057996033245
Smim24,-1.04084103777222
Snca,-5.16607450420464
Spta1,-6.90535501353621
Steap3,-2.78837707529452
Tal1,-5.37566055168469
Tgfbi,-3.17996281246655
Timd4,-8.43675773050673
Tinagl1,-4.81392558430328
Tmed6,-2.33991805332552
Tnfsf14,-3.91497940949404
Treml4,-4.71066316003947
Trim10,-4.8276677548777
Trim47,-3.16606711367032
Trpm5,-3.88443622379274
Vangl2,-1.29808921443416
Vcam1,-4.48650185045222
