NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	197	0.31378034	1.562504	0.0	0.055024933	0.152	4979	tags=44%, list=32%, signal=64%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	89	0.22035412	0.9618932	0.5511628	1.0	1.0	4355	tags=36%, list=28%, signal=50%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	12	0.35098845	0.93113637	0.5372807	1.0	1.0	7	tags=8%, list=0%, signal=8%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	46	0.22280516	0.8757233	0.69848156	1.0	1.0	3514	tags=28%, list=23%, signal=36%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	0.1749174	0.7012643	0.9339019	1.0	1.0	4454	tags=28%, list=29%, signal=39%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	108	0.14369617	0.64436215	0.9906323	1.0	1.0	4177	tags=28%, list=27%, signal=38%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	142	0.113595136	0.54420584	1.0	0.9983817	1.0	3580	tags=18%, list=23%, signal=24%	
