NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	198	0.24161287	1.3123659	0.020618556	0.35198078	0.699	6236	tags=52%, list=40%, signal=86%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	82	0.24684481	1.1447316	0.20689656	0.58289975	0.983	5150	tags=44%, list=33%, signal=66%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	197	0.17905153	0.95430785	0.5801105	1.0	1.0	4959	tags=38%, list=32%, signal=55%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	192	0.16222388	0.87713367	0.8076923	1.0	1.0	5694	tags=45%, list=37%, signal=71%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	192	0.14369576	0.77008915	0.98670214	1.0	1.0	3626	tags=24%, list=24%, signal=31%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	12	0.26934963	0.7485108	0.7965368	0.9407506	1.0	364	tags=17%, list=2%, signal=17%	
